,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
71278|KAT2A,0.945923696772124,Homo sapiens,KAT2A,cr,BGC823,human gastric cancer cells,None,1,KAT2A
77029|ZNF7,0.946012158233227,Homo sapiens,ZNF7,tf,293T,None,None,0,ZNF7
52549|SOX10,0.946187945560228,Homo sapiens,SOX10,tf,501-Mel,Melanoma Cell,None,1,SOX10
76456|USP7,0.946248276883691,Homo sapiens,USP7,tf,H1299,Epithelium,Lung,0,USP7
73091|RPA2,0.946363558637943,Homo sapiens,RPA2,other,HeLa,Epithelium,Cervix,0,RPA2
51010|NR2C2,0.94667187730714,Homo sapiens,NR2C2,tf,None,Erythroid Cell,None,1,NR2C2
73978|ZFP69B,0.946922856774159,Homo sapiens,ZFP69B,,293T,None,None,1,ZFP69B
38655|HOXC6,0.946934476843606,Homo sapiens,HOXC6,tf,LoVo,None,Colon,0,HOXC6
38754|GLI3,0.94722598092485,Homo sapiens,GLI3,tf,LoVo,None,Colon,0,GLI3
42729|KLF15,0.947299914787499,Homo sapiens,KLF15,tf,LoVo,None,Colon,0,KLF15
42866|RLF,0.947460321429728,Homo sapiens,RLF,not sure,LoVo,None,Colon,0,RLF
71021|CLOCK,0.947522747648513,Homo sapiens,CLOCK,tf,U2OS,Osteosarcoma cell,None,1,CLOCK
38860|CASP8AP2,0.947548668489553,Homo sapiens,CASP8AP2,tf,LoVo,None,Colon,1,CASP8AP2
71070|MBD3,0.947609253175237,Homo sapiens,MBD3,cr,HeLa,Epithelium,Cervix,0,MBD3
62620|CHAMP1,0.947649162111051,Homo sapiens,CHAMP1,,K562,Erythroblast,Bone Marrow,1,CHAMP1
77505|None,0.948003022803867,Homo sapiens,None,None,None,Patient,None,1,None
77057|ZNF701,0.94806549738492,Homo sapiens,ZNF701,tf,293T,None,None,1,ZNF701
62531|ZNF585B,0.948106913905602,Homo sapiens,ZNF585B,,HEK293,Epithelium,Embryonic Kidney,1,ZNF585B
65157|ZNF260,0.94816309889016,Homo sapiens,ZNF260,,HEK293,Epithelium,Embryonic Kidney,1,ZNF260
70797|HINFP,0.948343678849156,Homo sapiens,HINFP,tf,hTERT-RPE1,Epithelium,None,0,HINFP
69522|INO80,0.948506715758033,Homo sapiens,INO80,predicted chromatin regulator,A375,Melanoma Cell,None,0,INO80
38751|USF2,0.948683668186866,Homo sapiens,USF2,tf,LoVo,None,Colon,0,USF2
